gender,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,contract,paperlessbilling,paymentmethod,monthlycharges,churn,servicephone,streaming
male,0,yes,no,59,fiber optic,no,no,yes,no,one year,yes,bank transfer (automatic),99.5,yes,yes,yes
female,0,yes,no,23,dsl,no,no,yes,yes,month-to-month,no,electronic check,54.25,no,yes,no
female,0,yes,no,72,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.4,no,yes,no
male,0,yes,no,22,dsl,yes,no,no,yes,one year,yes,credit card (automatic),56.25,no,yes,no
female,0,no,no,1,dsl,no,no,no,no,month-to-month,yes,mailed check,25.15,no,no,no
male,0,no,no,69,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,no,yes,no
male,0,no,no,50,dsl,yes,no,no,yes,one year,yes,mailed check,35.4,no,no,no
female,1,no,no,1,dsl,no,no,no,no,month-to-month,yes,electronic check,25.2,yes,no,no
male,0,no,no,2,dsl,no,no,no,no,month-to-month,yes,mailed check,45.0,yes,yes,no
female,0,yes,no,15,fiber optic,no,yes,no,no,month-to-month,no,bank transfer (automatic),75.35,no,yes,no
male,0,no,no,31,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.4,no,yes,no
male,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.15,yes,yes,no
male,0,yes,no,66,fiber optic,no,yes,yes,no,month-to-month,yes,credit card (automatic),105.0,yes,yes,yes
male,0,no,yes,3,dsl,no,no,no,no,month-to-month,yes,credit card (automatic),54.7,yes,yes,yes
female,0,no,no,8,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.0,no,yes,no
male,0,yes,yes,64,dsl,yes,no,yes,no,one year,yes,credit card (automatic),73.05,no,yes,yes
female,0,yes,no,28,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.5,no,yes,no
female,0,yes,no,57,fiber optic,no,no,yes,no,one year,yes,credit card (automatic),100.75,no,yes,yes
female,0,yes,yes,14,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,87.25,yes,yes,no
male,0,no,no,19,no,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,no,yes,no
male,0,yes,no,10,fiber optic,no,no,no,no,month-to-month,yes,electronic check,79.95,yes,yes,yes
female,0,yes,no,51,dsl,no,yes,no,no,month-to-month,yes,electronic check,49.65,no,no,yes
female,0,yes,no,67,dsl,yes,yes,yes,no,two year,no,mailed check,65.65,no,yes,no
male,0,yes,yes,11,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.45,no,yes,no
male,0,yes,yes,72,dsl,yes,no,yes,yes,two year,no,bank transfer (automatic),60.95,no,no,yes
male,0,yes,yes,66,no,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.35,no,yes,no
female,0,no,no,18,fiber optic,no,no,no,yes,month-to-month,yes,electronic check,88.35,yes,yes,yes
female,0,no,no,9,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.5,no,yes,no
female,0,no,no,9,fiber optic,no,no,no,no,month-to-month,yes,credit card (automatic),75.2,no,yes,no
male,0,yes,no,48,fiber optic,yes,yes,yes,no,month-to-month,yes,bank transfer (automatic),111.45,no,yes,yes
male,0,no,no,10,fiber optic,no,no,no,no,month-to-month,no,mailed check,70.15,no,yes,no
female,0,no,no,9,fiber optic,no,no,no,no,month-to-month,yes,electronic check,94.75,yes,yes,yes
female,1,no,no,13,fiber optic,no,no,no,no,month-to-month,yes,electronic check,95.05,yes,yes,yes
male,0,no,no,4,fiber optic,no,yes,no,no,month-to-month,no,electronic check,78.45,yes,yes,no
male,0,no,no,4,fiber optic,no,no,no,no,month-to-month,yes,electronic check,70.2,yes,yes,no
female,0,yes,no,72,dsl,yes,yes,yes,yes,two year,no,bank transfer (automatic),92.0,no,yes,yes
female,0,yes,yes,51,dsl,yes,yes,yes,yes,two year,no,credit card (automatic),85.5,no,yes,yes
male,0,yes,no,59,dsl,no,yes,no,no,month-to-month,yes,bank transfer (automatic),41.05,yes,no,no
male,0,yes,no,10,fiber optic,no,no,no,no,month-to-month,yes,electronic check,85.6,yes,yes,yes
male,1,yes,no,61,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,82.15,no,yes,no
male,0,no,no,54,fiber optic,yes,no,yes,yes,one year,no,electronic check,84.4,no,yes,no
female,0,no,no,33,dsl,yes,yes,no,no,month-to-month,yes,mailed check,60.9,no,yes,no
female,0,no,no,27,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.25,no,yes,no
female,1,no,no,1,fiber optic,no,no,no,no,month-to-month,yes,electronic check,79.2,yes,yes,yes
male,0,no,no,23,fiber optic,no,yes,no,no,month-to-month,no,mailed check,95.3,no,yes,yes
male,0,no,yes,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,no,yes,no
male,0,yes,yes,45,dsl,yes,yes,yes,yes,two year,yes,mailed check,84.35,no,yes,yes
female,0,yes,yes,39,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.85,no,yes,no
male,0,no,no,5,dsl,no,no,yes,no,one year,yes,mailed check,70.0,yes,yes,yes
male,0,yes,yes,72,dsl,yes,yes,yes,yes,two year,no,bank transfer (automatic),82.3,no,yes,yes
female,0,yes,yes,58,dsl,no,yes,no,no,month-to-month,yes,bank transfer (automatic),66.8,no,yes,yes
female,0,no,no,70,dsl,yes,yes,yes,yes,two year,yes,bank transfer (automatic),44.6,no,no,no
male,0,yes,yes,61,fiber optic,no,yes,no,yes,one year,yes,bank transfer (automatic),98.45,no,yes,yes
male,0,no,no,2,fiber optic,no,no,no,no,month-to-month,no,mailed check,70.7,no,yes,no
female,0,yes,yes,46,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.95,no,yes,no
female,0,no,no,1,dsl,no,no,no,no,month-to-month,yes,bank transfer (automatic),49.95,yes,yes,no
female,0,yes,no,22,fiber optic,no,no,no,no,month-to-month,yes,electronic check,69.25,yes,yes,no
female,0,no,no,48,fiber optic,yes,no,yes,yes,two year,yes,credit card (automatic),102.5,no,yes,yes
male,0,no,no,64,dsl,no,yes,yes,yes,two year,no,credit card (automatic),86.55,no,yes,yes
male,0,yes,yes,72,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.3,no,yes,no
female,0,yes,yes,12,dsl,no,no,yes,no,month-to-month,yes,credit card (automatic),58.35,no,yes,yes
female,1,yes,no,34,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,94.25,yes,yes,no
female,0,yes,yes,72,dsl,yes,yes,yes,no,two year,no,credit card (automatic),68.75,no,yes,no
male,0,yes,no,29,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,85.8,no,yes,no
male,0,yes,yes,33,no,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),20.1,no,yes,no
female,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,no,yes,no
female,0,yes,yes,62,fiber optic,no,yes,yes,yes,one year,yes,electronic check,110.8,no,yes,yes
male,0,yes,no,41,dsl,no,no,yes,no,one year,yes,electronic check,73.0,yes,yes,yes
female,0,no,no,64,fiber optic,no,no,yes,no,one year,yes,credit card (automatic),100.05,yes,yes,yes
female,0,no,no,4,fiber optic,no,no,yes,no,month-to-month,yes,credit card (automatic),82.85,no,yes,no
female,0,no,no,24,fiber optic,yes,no,no,yes,month-to-month,yes,electronic check,84.35,no,yes,no
female,0,yes,yes,14,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.55,no,yes,no
male,0,no,yes,3,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,no,yes,no
female,1,no,no,4,fiber optic,no,yes,yes,no,month-to-month,yes,credit card (automatic),99.8,yes,yes,yes
female,0,no,yes,18,dsl,no,no,no,no,month-to-month,yes,electronic check,35.0,yes,no,no
male,0,no,no,8,dsl,no,no,no,no,month-to-month,yes,electronic check,66.25,no,yes,yes
female,0,no,no,35,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.3,no,yes,no
female,0,no,no,1,fiber optic,no,no,no,no,month-to-month,no,electronic check,76.0,yes,yes,no
male,0,no,yes,66,no,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.3,no,yes,no
male,0,no,yes,8,dsl,yes,no,no,yes,two year,yes,mailed check,44.55,no,no,no
female,0,yes,no,71,fiber optic,yes,no,yes,no,one year,yes,credit card (automatic),104.1,no,yes,yes
female,0,yes,yes,43,fiber optic,no,no,yes,no,month-to-month,yes,bank transfer (automatic),92.55,no,yes,no
female,1,no,no,2,fiber optic,no,no,no,no,month-to-month,yes,electronic check,93.85,yes,yes,yes
male,1,no,no,29,fiber optic,no,yes,yes,no,month-to-month,yes,bank transfer (automatic),101.45,no,yes,yes
female,0,yes,no,15,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,84.3,yes,yes,yes
male,0,yes,yes,65,fiber optic,yes,yes,yes,yes,two year,no,credit card (automatic),94.55,no,yes,no
male,0,no,no,35,fiber optic,no,no,yes,yes,month-to-month,no,electronic check,95.5,no,yes,yes
male,0,no,no,64,fiber optic,yes,yes,no,no,one year,yes,credit card (automatic),100.3,no,yes,yes
female,0,yes,yes,58,dsl,no,no,yes,yes,two year,yes,credit card (automatic),55.5,no,no,yes
female,1,no,no,18,dsl,no,yes,no,no,month-to-month,yes,credit card (automatic),49.85,no,yes,no
male,0,yes,yes,67,fiber optic,no,yes,no,no,month-to-month,yes,bank transfer (automatic),89.55,no,yes,no
male,0,yes,yes,63,no,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.15,no,yes,no
female,0,yes,no,60,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,99.8,no,yes,yes
male,1,no,no,9,fiber optic,no,no,no,no,month-to-month,yes,credit card (automatic),84.4,yes,yes,no
female,0,yes,yes,70,fiber optic,yes,yes,yes,yes,two year,yes,credit card (automatic),113.05,no,yes,yes
male,0,yes,no,15,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,101.1,yes,yes,yes
female,0,no,yes,48,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.95,no,yes,no
male,0,yes,no,12,dsl,no,no,yes,yes,month-to-month,yes,electronic check,74.15,no,yes,yes
male,1,yes,no,71,fiber optic,yes,yes,yes,yes,one year,yes,electronic check,92.0,no,yes,no
male,1,no,no,44,fiber optic,no,no,yes,no,month-to-month,no,electronic check,73.85,no,yes,no
male,0,no,no,1,dsl,no,no,no,no,month-to-month,yes,electronic check,50.45,yes,yes,no
male,0,yes,yes,45,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,24.45,no,yes,no
female,0,no,no,23,no,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),24.8,no,yes,no
female,0,yes,no,43,dsl,no,no,no,yes,one year,yes,bank transfer (automatic),64.85,no,yes,yes
male,0,no,no,35,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.75,no,yes,no
male,0,yes,no,9,dsl,yes,yes,no,yes,month-to-month,yes,mailed check,68.95,no,yes,yes
male,0,no,no,12,fiber optic,no,no,no,yes,month-to-month,yes,mailed check,99.95,yes,yes,yes
female,1,yes,no,65,fiber optic,yes,yes,yes,no,month-to-month,yes,credit card (automatic),109.4,no,yes,yes
female,0,no,no,2,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,91.4,yes,yes,yes
male,0,no,no,27,dsl,no,no,no,no,month-to-month,no,mailed check,49.0,no,yes,no
female,0,no,no,40,dsl,no,no,yes,no,one year,yes,mailed check,50.25,no,yes,no
female,1,no,no,5,fiber optic,no,no,yes,no,month-to-month,yes,credit card (automatic),75.55,yes,yes,no
male,0,yes,yes,8,no,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.9,no,yes,no
female,1,yes,no,58,fiber optic,no,yes,no,no,one year,yes,bank transfer (automatic),97.8,no,yes,yes
female,0,yes,yes,52,fiber optic,yes,no,yes,no,one year,no,electronic check,100.3,no,yes,yes
male,0,yes,no,3,dsl,no,no,yes,yes,month-to-month,yes,mailed check,55.8,no,yes,no
male,0,no,yes,41,fiber optic,yes,yes,yes,yes,two year,yes,electronic check,111.15,no,yes,yes
male,0,no,no,20,fiber optic,no,no,no,yes,month-to-month,yes,mailed check,98.55,no,yes,yes
male,0,no,yes,1,dsl,no,no,no,no,month-to-month,yes,electronic check,50.05,no,yes,no
male,0,no,yes,4,fiber optic,no,no,no,yes,month-to-month,no,credit card (automatic),80.8,yes,yes,no
male,0,no,no,23,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.85,no,yes,no
female,1,no,no,6,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.5,no,yes,no
male,0,yes,yes,8,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.35,no,yes,no
male,0,no,no,18,dsl,yes,no,yes,no,month-to-month,no,mailed check,69.5,no,yes,yes
male,1,no,no,52,dsl,yes,no,no,no,month-to-month,yes,credit card (automatic),48.8,no,no,yes
male,0,no,no,31,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,94.5,no,yes,yes
male,0,yes,yes,29,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.65,no,yes,no
female,0,yes,no,36,fiber optic,yes,yes,yes,yes,two year,yes,credit card (automatic),106.05,no,yes,no
female,0,yes,no,16,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,100.0,yes,yes,yes
male,0,yes,no,42,fiber optic,no,no,yes,yes,one year,yes,electronic check,108.3,no,yes,yes
male,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.55,yes,yes,no
female,0,no,no,60,fiber optic,no,yes,yes,no,two year,yes,electronic check,99.65,no,yes,yes
male,0,no,no,5,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,85.3,yes,yes,no
male,0,yes,no,22,fiber optic,yes,no,no,yes,month-to-month,no,credit card (automatic),95.9,no,yes,yes
male,0,yes,no,36,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.0,no,yes,no
female,0,no,no,4,fiber optic,no,no,no,no,month-to-month,no,electronic check,70.4,yes,yes,no
male,0,no,no,9,dsl,yes,no,no,yes,month-to-month,no,mailed check,64.95,no,yes,no
male,0,yes,yes,1,fiber optic,no,yes,no,no,month-to-month,no,credit card (automatic),74.6,no,yes,no
male,0,yes,yes,12,dsl,yes,no,no,no,month-to-month,yes,electronic check,49.2,no,yes,no
female,0,no,no,23,dsl,no,no,no,yes,one year,yes,mailed check,73.75,no,yes,yes
male,0,no,no,62,fiber optic,yes,yes,no,no,one year,yes,bank transfer (automatic),92.3,no,yes,no
male,0,no,no,37,fiber optic,no,no,no,yes,month-to-month,no,bank transfer (automatic),98.8,yes,yes,yes
female,0,no,no,8,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.2,no,yes,no
male,0,yes,no,31,fiber optic,no,no,yes,no,month-to-month,no,credit card (automatic),88.65,no,yes,yes
male,0,yes,yes,13,fiber optic,no,no,no,no,month-to-month,yes,credit card (automatic),74.4,yes,yes,no
female,0,no,no,24,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,98.75,yes,yes,yes
male,0,yes,yes,45,fiber optic,no,yes,yes,no,month-to-month,yes,bank transfer (automatic),95.95,no,yes,no
female,1,yes,no,69,fiber optic,no,yes,no,yes,two year,no,credit card (automatic),105.4,no,yes,yes
male,0,no,no,2,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.25,no,yes,no
male,0,yes,yes,61,fiber optic,yes,yes,no,no,one year,yes,electronic check,106.0,yes,yes,yes
male,0,no,no,41,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,104.7,yes,yes,yes
female,0,no,no,44,dsl,no,no,yes,no,one year,yes,electronic check,49.05,no,no,yes
male,0,no,no,39,dsl,no,no,yes,yes,one year,no,mailed check,35.55,no,no,no
male,0,yes,yes,72,dsl,yes,yes,yes,yes,two year,yes,credit card (automatic),65.1,no,no,yes
female,1,no,no,13,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,96.85,no,yes,yes
female,0,yes,yes,51,dsl,yes,yes,no,yes,one year,yes,credit card (automatic),69.75,no,yes,no
female,1,yes,no,71,fiber optic,no,yes,yes,no,two year,yes,electronic check,99.2,no,yes,yes
male,1,no,no,22,fiber optic,no,no,no,no,month-to-month,yes,electronic check,96.7,yes,yes,yes
female,0,no,no,2,dsl,no,yes,no,yes,month-to-month,yes,credit card (automatic),55.05,yes,yes,no
female,0,no,no,56,fiber optic,no,yes,yes,no,one year,yes,electronic check,106.8,no,yes,yes
male,0,no,no,1,dsl,yes,no,no,no,month-to-month,no,mailed check,51.25,no,yes,no
female,0,yes,yes,23,dsl,yes,yes,no,yes,one year,yes,mailed check,57.75,no,yes,no
female,1,yes,no,66,dsl,no,yes,yes,no,one year,yes,bank transfer (automatic),70.85,no,yes,yes
female,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.55,no,yes,no
male,1,no,no,19,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,88.2,yes,yes,yes
male,0,no,no,11,fiber optic,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),79.5,no,yes,no
female,0,yes,yes,8,no,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.75,yes,yes,no
female,0,yes,yes,52,fiber optic,yes,yes,yes,no,month-to-month,no,bank transfer (automatic),98.15,no,yes,no
male,0,no,no,3,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.25,no,yes,no
female,0,yes,yes,51,fiber optic,yes,yes,no,no,month-to-month,yes,bank transfer (automatic),79.15,no,yes,no
male,1,no,no,15,fiber optic,no,no,no,no,month-to-month,no,electronic check,75.65,yes,yes,no
male,1,yes,no,64,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,94.25,no,yes,no
female,0,no,no,37,dsl,no,no,yes,no,month-to-month,yes,credit card (automatic),40.2,no,no,no
male,0,no,no,13,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.95,no,yes,no
male,0,yes,no,49,dsl,yes,no,no,no,one year,yes,electronic check,55.35,no,yes,no
female,1,no,no,45,fiber optic,no,no,yes,no,one year,yes,bank transfer (automatic),102.15,no,yes,yes
female,0,no,no,18,fiber optic,no,no,no,no,month-to-month,yes,electronic check,71.1,no,yes,no
male,1,no,no,1,fiber optic,no,no,no,no,month-to-month,yes,electronic check,74.7,yes,yes,no
male,0,yes,no,68,dsl,yes,no,yes,no,two year,yes,bank transfer (automatic),54.1,no,no,yes
male,0,no,no,54,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.65,no,yes,no
female,1,yes,yes,23,fiber optic,no,yes,yes,no,month-to-month,yes,bank transfer (automatic),88.45,no,yes,no
male,0,no,no,17,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,76.65,yes,yes,no
male,0,yes,no,71,dsl,yes,yes,yes,yes,two year,no,credit card (automatic),80.4,no,yes,no
female,0,yes,yes,67,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.25,no,yes,no
female,0,yes,yes,14,fiber optic,no,no,no,no,month-to-month,yes,electronic check,84.8,no,yes,yes
female,1,no,no,1,dsl,no,no,no,no,month-to-month,yes,mailed check,25.8,yes,no,no
female,0,no,yes,63,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.5,no,yes,no
female,0,no,no,41,dsl,no,no,yes,yes,one year,yes,electronic check,68.6,no,yes,no
female,0,yes,no,17,fiber optic,no,no,no,no,month-to-month,no,electronic check,92.6,no,yes,yes
male,0,yes,no,56,fiber optic,yes,no,no,no,one year,yes,electronic check,100.55,no,yes,yes
female,0,no,no,5,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.55,no,yes,no
female,0,no,no,2,dsl,yes,yes,no,no,month-to-month,yes,electronic check,42.6,yes,no,no
female,0,yes,no,3,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.6,no,yes,no
male,0,no,no,37,dsl,yes,yes,yes,yes,one year,no,electronic check,67.45,no,yes,no
female,0,no,no,29,dsl,yes,yes,yes,no,month-to-month,yes,bank transfer (automatic),68.85,yes,yes,no
male,0,no,no,8,dsl,no,no,no,no,month-to-month,no,mailed check,43.55,no,yes,no
female,0,no,no,63,fiber optic,no,yes,yes,yes,month-to-month,yes,credit card (automatic),109.85,no,yes,yes
female,0,yes,yes,7,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.65,no,yes,no
female,0,no,no,3,fiber optic,no,yes,no,no,month-to-month,no,electronic check,95.4,no,yes,yes
male,0,yes,yes,72,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,no,yes,no
female,0,no,no,19,dsl,no,no,no,no,month-to-month,yes,electronic check,56.2,no,yes,no
female,0,yes,no,59,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),18.4,no,yes,no
male,0,yes,yes,2,fiber optic,no,no,yes,yes,month-to-month,no,credit card (automatic),90.0,yes,yes,no
female,0,yes,yes,35,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,25.75,no,yes,no
male,0,no,no,14,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),19.6,no,yes,no
female,0,no,no,14,fiber optic,no,no,yes,no,month-to-month,no,electronic check,75.35,yes,yes,no
female,0,yes,yes,69,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,no,yes,no
male,1,yes,no,7,dsl,yes,yes,no,yes,month-to-month,no,electronic check,64.2,no,yes,no
male,0,yes,yes,69,dsl,yes,yes,yes,yes,two year,yes,bank transfer (automatic),75.75,no,yes,yes
female,0,yes,yes,72,dsl,no,yes,no,yes,two year,yes,electronic check,78.95,no,yes,yes
male,0,no,no,8,fiber optic,no,yes,no,no,month-to-month,no,electronic check,100.85,yes,yes,yes
female,0,yes,yes,4,dsl,yes,no,no,no,month-to-month,no,electronic check,50.3,no,yes,no
male,0,yes,yes,63,fiber optic,no,yes,yes,no,month-to-month,yes,credit card (automatic),80.3,no,yes,no
male,0,no,no,72,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.85,no,yes,no
female,0,no,no,46,no,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,21.1,no,yes,no
female,0,yes,no,5,fiber optic,no,no,no,no,month-to-month,no,electronic check,69.95,yes,yes,no
male,0,yes,no,30,dsl,no,no,yes,no,month-to-month,yes,mailed check,50.0,no,yes,no
male,0,no,no,63,fiber optic,no,yes,yes,no,two year,yes,bank transfer (automatic),104.75,no,yes,yes
female,0,no,no,60,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.85,no,yes,no
female,0,yes,no,63,fiber optic,no,yes,yes,no,one year,yes,electronic check,107.5,yes,yes,yes
male,0,yes,yes,25,fiber optic,no,no,no,yes,month-to-month,no,electronic check,85.9,no,yes,yes
male,0,no,no,1,dsl,no,no,no,no,month-to-month,yes,mailed check,45.85,yes,yes,no
male,1,yes,no,6,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,80.8,no,yes,no
male,0,no,no,22,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.25,no,yes,no
female,0,yes,yes,31,dsl,no,yes,no,yes,two year,no,bank transfer (automatic),80.55,no,yes,yes
female,0,yes,yes,39,fiber optic,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),81.5,no,yes,no
male,0,no,no,26,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.9,no,yes,no
female,0,yes,no,53,fiber optic,yes,yes,yes,no,one year,yes,bank transfer (automatic),106.1,yes,yes,yes
female,0,no,no,1,fiber optic,no,yes,no,yes,month-to-month,no,electronic check,91.7,yes,yes,yes
male,0,no,no,12,dsl,yes,yes,no,yes,month-to-month,yes,electronic check,67.25,no,yes,no
female,0,no,no,16,fiber optic,no,yes,yes,no,month-to-month,yes,credit card (automatic),95.6,yes,yes,no
female,0,no,no,2,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,no,yes,no
male,0,no,yes,39,dsl,yes,no,no,yes,one year,no,bank transfer (automatic),45.05,no,no,yes
male,0,no,no,1,fiber optic,no,no,no,no,month-to-month,yes,electronic check,74.95,yes,yes,no
female,0,yes,yes,7,dsl,yes,no,no,yes,month-to-month,no,mailed check,34.65,no,no,no
male,1,no,no,4,fiber optic,no,no,no,no,month-to-month,no,electronic check,69.35,no,yes,no
male,1,no,no,10,fiber optic,no,no,no,no,month-to-month,yes,electronic check,95.35,yes,yes,yes
female,0,no,no,55,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,81.55,no,yes,no
male,0,yes,yes,72,dsl,no,yes,yes,no,two year,yes,bank transfer (automatic),75.4,no,yes,yes
female,0,yes,no,10,dsl,no,no,yes,no,month-to-month,yes,credit card (automatic),67.8,no,yes,yes
male,1,no,no,11,fiber optic,no,yes,yes,yes,month-to-month,yes,electronic check,111.4,no,yes,yes
female,0,yes,yes,15,dsl,no,no,no,no,month-to-month,no,electronic check,46.3,no,yes,no
female,0,yes,yes,23,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.4,no,yes,no
male,0,no,yes,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,no,yes,no
female,1,no,no,3,dsl,no,no,no,no,month-to-month,no,electronic check,45.0,yes,yes,no
male,0,yes,yes,47,fiber optic,yes,yes,yes,no,one year,yes,electronic check,96.1,no,yes,no
female,0,no,yes,15,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.65,no,yes,no
male,0,no,no,66,fiber optic,no,yes,yes,no,month-to-month,no,electronic check,99.5,yes,yes,yes
female,1,yes,no,68,dsl,no,yes,yes,yes,one year,yes,bank transfer (automatic),60.65,no,yes,no
female,0,yes,yes,17,fiber optic,no,no,yes,yes,one year,no,bank transfer (automatic),98.6,yes,yes,yes
female,0,no,no,7,dsl,no,no,no,yes,month-to-month,yes,mailed check,59.5,yes,yes,yes
male,1,yes,no,12,fiber optic,no,no,no,no,month-to-month,yes,electronic check,80.45,yes,yes,no
female,1,yes,no,21,dsl,no,yes,yes,no,one year,no,bank transfer (automatic),71.7,no,yes,no
male,0,no,no,21,dsl,no,yes,no,yes,month-to-month,yes,mailed check,36.0,no,no,no
female,0,yes,yes,56,dsl,yes,no,no,no,one year,no,bank transfer (automatic),65.2,no,yes,yes
female,0,yes,yes,6,dsl,no,no,no,no,month-to-month,yes,credit card (automatic),48.95,no,yes,no
female,1,no,no,65,dsl,no,yes,yes,no,two year,yes,bank transfer (automatic),53.5,no,no,yes
male,0,yes,no,42,dsl,yes,no,no,yes,one year,no,credit card (automatic),80.45,no,yes,yes
female,0,yes,yes,68,fiber optic,yes,no,yes,yes,two year,yes,bank transfer (automatic),109.05,no,yes,yes
male,0,yes,yes,48,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),26.3,no,yes,no
female,1,no,no,50,fiber optic,no,yes,no,yes,one year,yes,electronic check,106.8,no,yes,yes
female,1,no,no,7,dsl,no,yes,yes,no,month-to-month,yes,electronic check,64.95,no,yes,yes
female,0,yes,yes,63,no,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,19.35,no,yes,no
